PR	PM	T
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	0	196
-15	0	184
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	-1	192
-16	-1	180
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-2	192
-17	-2	180
-17	-2	180
-17	-2	180
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-2	192
-18	-3	192
-18	-3	180
-18	-3	180
-19	-3	180
-19	-3	192
-19	-3	192
-19	-3	192
-19	-3	192
-19	-3	192
-19	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	192
-20	-4	168
-20	-4	168
-20	-4	168
-20	-4	168
-20	-4	168
-20	-5	168
